noun,h_adj,h_verb,h_adj_norm,h_verb_norm,delta,ratio,tau_entropy,variety_adj,variety_verb
digestion,3.859459678032321,3.907734270742486,0.8786841447334807,0.9199154784010611,-0.048274592710164654,0.9876463983051252,1.6065792763325968,21,19
measle,0.9274479232123118,1.5683182557028439,0.4637239616061559,0.7841591278514219,-0.640870332490532,0.5913646161038116,3.6813801919692204,4,4
workbook,2.807354922057604,2.584962500721156,1.0,1.0,0.2223924213364481,1.0860331325016919,1.0,7,6
toddy,1.6257009426300737,2.321928094887362,0.41611120220704884,1.0,-0.6962271522572885,0.7001512864285908,3.919443988964756,15,5
épouse,0.0,1.5,0.0,0.9463946303571862,-1.5,0.0,6.0,1,3
sickening,1.1488348542809166,0.0,0.72483409150576,0.0,1.1488348542809166,,2.3758295424712004,3,1
cela,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
mameluke,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
catarrh,1.5566567074628228,0.0,0.9821410328348752,0.0,1.5566567074628228,,1.089294835825624,3,1
keyboard,6.294589156420338,4.932410835558906,0.8894663242381962,0.8695417811959439,1.3621783208614326,1.2761688687895116,1.5526683788090192,135,51
burnout,3.596439344671015,1.5219280948873621,0.9446031216673112,0.9602297178607612,2.0745112497836526,2.3630809870404472,1.276984391663444,14,3
word,7.6627670282847635,7.288387992028064,0.6514638789206422,0.7189892850298062,0.3743790362566992,1.0513665074727347,2.742680605396789,3474,1126
parenthesis,3.6259791299831026,2.6384600665861555,0.9523617325446294,0.8794866888620518,0.9875190633969471,1.3742785710130818,1.238191337276853,14,8
bonhomie,4.3069301073293795,1.0,0.9274469172436434,1.0,3.3069301073293795,4.3069301073293795,1.362765413781783,25,2
brachte,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
hairstylist,3.236440501696144,1.0,0.9742656701923235,1.0,2.236440501696144,3.236440501696144,1.1286716490383828,10,2
furrowing,2.5048003829823355,2.7219280948873625,0.9689890597188714,0.969570350190125,-0.217127711905027,0.920230180836569,1.1550547014056431,6,7
chi,2.742935967788624,1.9219280948873623,0.7651226385873914,0.9609640474436811,0.8210078729012618,1.4271792868241402,2.174386807063043,12,4
firstborn,0.9852281360342515,2.75,0.9852281360342515,0.979569764547061,-1.7647718639657484,0.35826477673972784,1.0738593198287423,2,7
clasper,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4,2
comlink,4.787887129670116,4.208410187268527,0.9123386550986106,0.9737344293735192,0.5794769424015893,1.1376949766338484,1.4383067245069472,38,20
sportsmanship,2.3646586075571303,0.0,0.659604837451285,0.0,2.3646586075571303,,2.701975812743575,12,1
perambulation,3.2524257458009567,2.321928094887362,0.9401618833217804,1.0,0.9304976509135945,1.4007435255908445,1.299190583391098,11,5
chase,6.044627678729978,3.08862403175745,0.7863952727711686,0.5228849225773183,2.9560036469725284,1.9570616613024734,2.068023636144157,206,60
bookplate,0.0,1.0,0.0,1.0,-1.0,0.0,6.0,1,2
superglue,1.5566567074628228,0.0,0.9821410328348752,0.0,1.5566567074628228,,1.089294835825624,3,1
disquiet,5.285363524213708,4.6269500167488715,0.8984674881449883,0.9524430049005094,0.6584135074648367,1.1422996801524714,1.5076625592750583,59,29
aviary,3.538045001215802,0.9182958340544896,0.9292658745099973,0.9182958340544896,2.6197491671613125,3.8528379091022456,1.3536706274500134,14,2
reden,1.3709505944546687,0.9182958340544896,0.8649735207179273,0.9182958340544896,0.45265476040017916,1.4929291232887372,1.6751323964103633,3,2
worker,6.701319611852817,6.968550166672595,0.6810835262869331,0.9394295926871479,-0.2672305548197782,0.9616519148993401,2.594582368565334,916,171
tror,0.0,1.0,0.0,1.0,-1.0,0.0,6.0,1,2
selfpreservation,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
vowel,5.765081437845246,4.91852761437418,0.8795489035700053,0.975048241274161,0.8465538234710657,1.1721152934055,1.6022554821499737,94,33
heartsick,1.4411665441579466,1.9219280948873623,0.9092748525610023,0.9609640474436811,-0.4807615507294156,0.7498545590710086,1.4536257371949888,3,4
lucre,0.7904316308498373,1.0,0.34042037416674675,1.0,-0.20956836915016275,0.7904316308498373,4.297898129166266,5,2
sum,5.787432717597178,6.032712445628788,0.6989002447058318,0.8660492773099759,-0.24527972803161013,0.959341717305068,2.505498776470841,311,125
aircraft,7.595640827188861,6.846635152507952,0.8469085765291111,0.9397744897023931,0.7490056746809088,1.109397632267077,1.7654571173544444,501,156
deze,1.7806390622295665,2.0,0.8903195311147832,1.0,-0.21936093777043353,0.8903195311147832,1.548402344426084,4,4
disintegrator,2.984234164652489,1.584962500721156,0.9947447215508296,1.0,1.3992716639313327,1.882842126103719,1.026276392245852,8,3
supposition,5.896532523271683,3.0315791683493645,0.9249405571168143,0.8456376231939742,2.864953354922319,1.9450366280496083,1.3752972144159283,83,12
frail,3.7398499222733586,3.219712891530092,0.8514525618932558,0.8456560939136366,0.5201370307432667,1.16154764361492,1.742737190533721,21,14
veldt,3.065586066634831,0.9182958340544896,0.8861531039143344,0.9182958340544896,2.1472902325803416,3.338342561241464,1.5692344804283278,11,2
norange,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
nici,2.9682407253072176,1.584962500721156,0.6867862352496116,1.0,1.3832782245860615,1.872751389358847,2.5660688237519422,20,3
handicraft,2.737872392231515,0.0,0.9752498234974996,0.0,2.737872392231515,,1.1237508825125022,7,1
tithe,4.029470547040282,3.772449620842178,0.9485732829216262,0.8728626525056741,0.25702092619810424,1.0681310426991801,1.2571335853918688,19,20
threedee,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
cuneiform,1.419556298571613,0.9182958340544896,0.8956403056385981,0.9182958340544896,0.5012604645171235,1.5458594561013546,1.5217984718070094,3,2
protestant,4.5770416632258195,1.0,0.8996707801213003,1.0,3.5770416632258195,4.5770416632258195,1.5016460993934984,34,2
creator,5.992547018015596,4.3636085007312415,0.9142521603749124,0.9517217425540343,1.6289385172843547,1.3733007938295523,1.428739198125438,94,24
cooper,2.9744870651207918,1.0,0.9914956883735973,1.0,1.9744870651207918,2.9744870651207918,1.0425215581320137,8,2
band,8.000869054881909,7.0846319823657495,0.7729606864221357,0.8806918056534447,0.916237072516159,1.1293274054032376,2.135196567889322,1306,264
afresh,3.787326145256008,4.970573095811685,0.9693965194503,0.977023960845299,-1.1832469505556769,0.7619495925826527,1.1530174027484998,15,34
brawn,4.332344831622184,3.6402239289418516,0.9577286381191727,0.9837273962594127,0.6921209026803328,1.1901314084492378,1.2113568094041363,23,13
newsgroup,2.974937501201927,0.0,0.9916458337339756,0.0,2.974937501201927,,1.0417708313301217,8,1
backswing,2.2359263506290326,1.0,0.9629610647945144,1.0,1.2359263506290326,2.2359263506290326,1.1851946760274281,5,2
airstrike,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
dropsy,0.0,1.0,0.0,1.0,-1.0,0.0,6.0,1,2
performance,7.919931649241588,6.68121576213502,0.8329935541262463,0.8899039041853972,1.2387158871065678,1.1854027666830997,1.8350322293687684,728,182
peerage,3.683067278927605,2.321928094887362,0.9427106259559714,1.0,1.3611391840402427,1.5862107388412785,1.2864468702201428,15,5
fatale,1.9998374128207,1.2516291673878228,0.4795859427037626,0.7896900821428475,0.7482082454328771,1.597787479652942,3.6020702864811875,18,3
reach,5.536917787732328,5.361755768855551,0.6618102489890123,0.8180155750704665,0.17516201887677685,1.0326687798601772,2.6909487550549382,330,94
preparation,6.797435775369216,4.9509193816070365,0.7997128260524043,0.7571186944101952,1.8465163937621796,1.3729643428697504,2.0014358697379784,362,93
chickpea,3.6650339085528447,2.311278124459133,0.7993596257278837,0.8941244307468018,1.3537557840937118,1.585717387175335,2.0032018713605817,24,6
grubby,1.7232314287976207,1.0,0.8616157143988104,1.0,0.7232314287976207,1.7232314287976207,1.6919214280059482,4,2
chop,6.950117885924595,4.965370650654789,0.9017508807907537,0.8372265315488082,1.984747235269806,1.399717840803702,1.4912455960462314,209,61
throwback,4.405432536092563,2.0,0.9068443331727927,1.0,2.4054325360925626,2.2027162680462813,1.4657783341360366,29,4
bath,5.67967535491874,4.517459957689171,0.6467876889465257,0.7145699681941192,1.162215397229569,1.2572718758140538,2.7660615552673713,440,80
assez,2.5410864810249985,2.5216406363433186,0.734538722296224,0.9755037590061086,0.01944584468167987,1.0077115844349172,2.3273063885188803,11,6
twee,3.1036857170280054,2.4040097573248604,0.9343024979393009,0.8563255534369275,0.699675959703145,1.2910453909645243,1.3284875103034957,10,7
permacrete,1.9749375012019272,0.0,0.9874687506009636,0.0,1.9749375012019272,,1.062656246995182,4,1
hugl,0.863120568566631,1.3787834934861753,0.863120568566631,0.8699155297736259,-0.5156629249195444,0.6260015242743296,1.684397157166845,2,3
honour,5.211449478873954,5.003603421453275,0.7299407514063159,0.8403490850183549,0.20784605742067885,1.0415392747813557,2.3502962429684207,141,62
faie,2.299896391167891,1.0,0.9905114616736054,1.0,1.299896391167891,2.299896391167891,1.0474426916319732,5,2
patriotic,0.0,1.0,0.0,1.0,-1.0,0.0,6.0,1,2
rep,5.272695449763809,2.90161745073764,0.8518327780711521,0.7841277447414442,2.371077999026169,1.817157340442449,1.7408361096442395,73,13
criterion,6.33003674864968,2.9679363127863185,0.8866154799100747,0.6655413888134142,3.3621004358633613,2.132807473455183,1.5669226004496264,141,22
saw,5.8393950499275755,4.881181986173258,0.8067240310842373,0.9301161217774375,0.9582130637543171,1.196307588299025,1.9663798445788134,151,38
present,7.044574004384671,5.699255114056045,0.8100034849083668,0.8209208795563843,1.3453188903286266,1.2360517056010834,1.949982575458166,415,123
minute,3.3295674906729023,4.524467748910077,0.34360868810225026,0.5416482965556266,-1.1949002582371744,0.7359025802482468,4.281956559488749,826,327
presentment,2.0,0.0,1.0,0.0,2.0,,1.0,4,1
cree,0.8812908992306927,0.0,0.8812908992306927,0.0,0.8812908992306927,,1.5935455038465365,2,1
dachshund,3.772527015780113,0.7219280948873623,0.8588921638986322,0.7219280948873623,3.0505989208927504,5.225627098455997,1.705539180506839,21,2
contention,5.533905029361578,3.4632805178108104,0.9805184333696612,0.9096290177063803,2.0706245115507675,1.5978795251791036,1.0974078331516943,50,14
admin,3.8274213294333803,1.584962500721156,0.9178633496068958,1.0,2.2424588287122242,2.414833996193543,1.4106832519655212,18,3
opportunist,5.445804245797815,1.0,0.9553305560739597,1.0,4.445804245797815,5.445804245797815,1.2233472196302015,52,2
galosh,3.782768181908558,0.9182958340544896,0.9456920454771395,0.9182958340544896,2.8644723478540683,4.119335013431082,1.2715397726143025,16,2
port,7.5820397067884056,5.75778475131407,0.837055269959865,0.8076246570137413,1.824254955474336,1.3168327810549005,1.814723650200675,533,140
bristle,5.687241612619852,3.1691375876638737,0.8804554252436921,0.7005845434305202,2.5181040249559783,1.7945707484452247,1.5977228737815392,88,23
tumblerful,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
obese,2.8283970887482526,0.0,0.8514323633619035,0.0,2.8283970887482526,,1.7428381831904822,10,1
huntin,2.3175207502622106,1.584962500721156,0.8255175475153752,1.0,0.7325582495410545,1.4621927958596759,1.8724122624231239,7,3
sunjet,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
scammer,2.523231428797621,1.0,0.976119161532783,1.0,1.523231428797621,2.523231428797621,1.1194041923360851,6,2
paleness,5.355848780761536,4.513794876803092,0.958976677116447,0.9719928206954356,0.842053903958444,1.1865512117721289,1.2051166144177652,48,25
lodging,5.673299511638512,3.9095915594680553,0.8334073331853968,0.8642728003831458,1.7637079521704568,1.4511233271667974,1.8329633340730158,112,23
crump,3.7696040520163137,0.0,0.8722042498753225,0.0,3.7696040520163137,,1.6389787506233873,20,1
lullaby,5.31249926666814,2.6356926037572066,0.8757700554460915,0.6589231509393016,2.6768066629109333,2.015598958351637,1.6211497227695424,67,16
vestibule,5.319984292566311,3.3027227528624894,0.834502178356299,0.9212712133524713,2.017261539703821,1.6107874292371192,1.8274891082185047,83,12
denti,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
perversity,4.23852072532561,1.7924812503605778,0.8555415368662737,0.8962406251802889,2.4460394749650316,2.3646109126513783,1.7222923156686316,31,4
counterfeit,3.990315760122648,1.0,0.9762329139369071,1.0,2.990315760122648,3.990315760122648,1.1188354303154644,17,2
turn,7.104725013566362,2.664297326118051,0.717695610824431,0.353759445074689,4.440427687448311,2.6666411980070284,2.411521945877845,955,185
schotwond,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
graying,2.611041013792049,1.0,0.9300715749465442,1.0,1.611041013792049,2.611041013792049,1.3496421252672788,7,2
benightedness,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
breaststroke,2.8974076197009215,0.0,0.9658025399003072,0.0,2.8974076197009215,,1.1709873004984641,8,1
goot,0.863120568566631,0.0,0.863120568566631,0.0,0.863120568566631,,1.684397157166845,2,1
emphasis,6.171854294537521,4.0479664384411205,0.7811616680214463,0.7506914228270948,2.1238878560964007,1.5246802038492973,2.094191659892769,239,42
vină,0.0,1.0,0.0,1.0,-1.0,0.0,6.0,1,2
iral,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,2
mill,6.095378839270605,5.070773007413352,0.8153552953108238,0.9233264106795318,1.0246058318572535,1.202061072416238,1.9232235234458808,178,45
workroom,4.922324099314033,3.3927474104487847,0.9249136800707213,0.9807239409418417,1.5295766888652484,1.4508371840929117,1.3754315996463937,40,11
following,5.170895612578799,4.2813449889242206,0.8436379260483458,0.8100320111202124,0.8895506236545785,1.2077736379469146,1.7818103697582712,70,39
sprinkler,4.5023723450270525,2.5219280948873624,0.8777781085881071,0.8983289127685206,1.9804442501396902,1.7852897369098635,1.6111094570594644,35,7
masquer,0.7219280948873623,1.0,0.7219280948873623,1.0,-0.2780719051126377,0.7219280948873623,2.3903595255631886,2,2
rationale,5.714183694880474,4.410099326733673,0.9488267525803934,0.9078049772440212,1.3040843681468015,1.2957040809129956,1.255866237098033,65,29
taro,2.5654483718208256,1.9219280948873623,0.9924509044541705,0.9609640474436811,0.6435202769334634,1.3348305686593223,1.0377454777291475,6,4
strafing,2.556656707462823,1.0,0.9890498244170132,1.0,1.5566567074628228,2.556656707462823,1.0547508779149342,6,2
timbering,0.9664516287472262,0.0,0.6097630879642212,0.0,0.9664516287472262,,2.951184560178894,3,1
microjump,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
powerhouse,4.851087367518582,2.584962500721156,0.9178274739822624,1.0,2.2661248667974263,1.876656766264586,1.4108626300886882,39,6
plumbago,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
sheath,6.6458687001628,4.988810950023825,0.8386152602523954,0.8794846382746617,1.657057750138975,1.3321548494699045,1.8069236987380228,243,51
laughin,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
masochist,3.913167224812491,1.0,0.9384262842758533,1.0,2.913167224812491,3.913167224812491,1.3078685786207336,18,2
nationalism,5.784350203775265,3.169925001442312,0.9098392273588248,1.0,2.614425202332953,1.8247593243194689,1.4508038632058757,82,9
poltergeist,3.826465890981193,2.2516291673878226,0.9794146514576769,0.9697238998682473,1.5748367235933705,1.699420999871121,1.1029267427116154,15,5
reliever,3.6767410302247323,2.584962500721156,0.9410913718335285,1.0,1.0917785295035762,1.4223575890168583,1.2945431408323573,15,6
composure,6.655117434163408,4.480149301329349,0.8627049034053632,0.7749300377986659,2.174968132834059,1.4854677794306326,1.6864754829731838,210,55
excretion,3.4883886166411644,2.3709505944546683,0.8365590785049096,0.9172088932791936,1.1174380221864961,1.471303798906663,1.817204607475452,18,6
locomotion,3.643854932309198,2.2516291673878226,0.9326739111673662,0.9697238998682473,1.3922257649213754,1.6183192974607516,1.336630444163169,15,5
carronade,2.4243907125842528,0.0,0.9378823529965689,0.0,2.4243907125842528,,1.3105882350171556,6,1
tidiness,3.6205715771054217,0.0,0.9784165809689795,0.0,3.6205715771054217,,1.1079170951551023,13,1
mimicry,4.594264455055322,1.584962500721156,0.9188528910110645,1.0,3.009301954334166,2.898658140470161,1.4057355449446776,32,3
speakerphone,2.1895415173391393,1.5,0.9429842044464151,0.9463946303571862,0.6895415173391393,1.4596943448927595,1.2850789777679248,5,3
blurb,3.5919080099165734,3.327819531114783,0.8787622418648882,0.9619555747789698,0.2640884788017903,1.0793578126255312,1.6061887906755592,17,11
adventurism,2.7489818174840766,0.0,0.8672072103388229,0.0,2.7489818174840766,,1.6639639483058857,9,1
noeman,0.9709505944546686,0.0,0.9709505944546686,0.0,0.9709505944546686,,1.145247027726657,2,1
vinden,1.8339272176418302,2.0,0.9169636088209151,1.0,-0.1660727823581698,0.9169636088209151,1.4151819558954246,4,4
offspring,6.897536497947919,5.2058378495786215,0.8551277248592468,0.8493387946333371,1.6916986483692975,1.324961840389675,1.724361375703766,268,70
formula,6.803701644360583,5.688300916070288,0.8268138964124608,0.92496501165538,1.115400728290295,1.19608680074205,1.865930517937696,300,71
align,0.4043199575742006,0.0,0.15641231060853025,0.0,0.4043199575742006,,5.217938446957349,6,1
coffer,5.34074656076123,4.203998122576231,0.8684497845159181,0.8567539953588227,1.1367484381849984,1.2703969899702032,1.6577510774204094,71,30
scuff,4.567267126220227,2.7898980954642876,0.8904299316555397,0.9299660318214292,1.7773690307559398,1.6370731008582429,1.5478503417223013,35,8
wank,3.231946188135182,1.0,0.9729127470005544,1.0,2.231946188135182,3.231946188135182,1.135436264997228,10,2
jambiya,0.0,1.584962500721156,0.0,1.0,-1.584962500721156,0.0,6.0,1,3
lobe,4.082227533564185,5.24834035231974,0.6257666534114708,0.9206904400054281,-1.166112818755555,0.7778130341260854,2.8711667329426462,92,52
hawking,1.5566567074628228,0.0,0.9821410328348752,0.0,1.5566567074628228,,1.089294835825624,3,1
trotting,2.292481250360578,0.0,0.9873179343530822,0.0,2.292481250360578,,1.0634103282345888,5,1
bush,7.12113601571394,5.786759036532456,0.8103339753242649,0.9127596132242068,1.3343769791814841,1.2305914192655014,1.9483301233786756,442,81
disbelief,6.321936859585982,5.320322129798865,0.789134630440836,0.8568100630642186,1.001614729787117,1.1882620460473854,2.05432684779582,258,74
banality,3.91237802412362,3.321928094887362,0.9052390364272322,1.0,0.5904499292362577,1.1777431396377886,1.4738048178638388,20,10
farmyard,4.029999133836104,3.0,0.9664440325526694,1.0,1.029999133836104,1.3433330446120346,1.1677798372366528,18,8
creosote,2.0,0.0,1.0,0.0,2.0,,1.0,4,1
angreal,2.6986604604011157,1.584962500721156,0.9612822515591215,1.0,1.1136979596799597,1.702665179253912,1.1935887422043925,7,3
boasting,3.973098996850683,2.4056390622295662,0.9192885465981426,0.9306282244165778,1.5674599346211169,1.6515773539062764,1.4035572670092868,20,6
sombre,1.8026927560197177,2.4996981431844145,0.776377511426411,0.8904104442028663,-0.6970053871646968,0.7211641777367694,2.118112442867945,5,7
fightback,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
intimation,3.6896692495329475,3.010428829289149,0.667987302194907,0.8702090866808303,0.6792404202437985,1.2256291242082569,2.660063489025465,46,11
scarf,6.537751244211172,5.664580670232237,0.7709812094947862,0.8507661081217419,0.8731705739789355,1.1541456684636,2.145093952526069,357,101
vale,5.636981406095885,3.4182958340544896,0.9360074942452293,0.9881090915741206,2.218685572041396,1.6490618950934335,1.3199625287738534,65,11
sauté,1.5304930567574826,1.0,0.9656336071428252,1.0,0.5304930567574826,1.5304930567574826,1.1718319642858739,3,2
teetering,0.0,1.9219280948873623,0.0,0.9609640474436811,-1.9219280948873623,0.0,6.0,1,4
nightlife,4.763369446081223,1.9219280948873623,0.9707511005736011,0.9609640474436811,2.8414413511938603,2.478432704507807,1.1462444971319943,30,4
slight,4.981014096785068,4.061482186720775,0.8398642214750168,0.9739940611200372,0.9195319100642934,1.2264030390360323,1.8006788926249158,61,18
dissipate,2.751610325528166,2.321928094887362,0.9172034418427221,1.0,0.4296822306408039,1.1850540641576792,1.4139827907863896,8,5
artist,7.633799420115896,6.590230623649984,0.7947338189375842,0.9609578428887718,1.0435687964659115,1.1583508766325894,2.026330905312079,779,116
pr,3.1272995609719603,3.584962500721156,0.7235889844329915,1.0,-0.4576629397491958,0.8723381514710038,2.3820550778350427,20,12
squealer,1.7232314287976207,1.0,0.8616157143988104,1.0,0.7232314287976207,1.7232314287976207,1.6919214280059482,4,2
pláče,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
sick,3.4179072177135716,3.0957952550009344,0.836192853723423,0.9766146686727135,0.3221119627126372,1.1040482125529132,1.8190357313828849,17,9
nought,2.7806390622295662,2.1556390622295662,0.9904836187194824,0.9283832117695864,0.625,1.2899372213795224,1.0475819064025877,7,5
overpass,4.060214831201533,3.4677201004745006,0.897570293198911,0.9672960595199892,0.5924947307270321,1.170860021443472,1.512148534005445,23,12
thready,1.4353713907745331,2.663532754804255,0.9056185178648963,0.948769510358905,-1.228161364029722,0.5388975931253451,1.4719074106755183,3,7
trident,4.924852066354928,4.17146526179041,0.9601443418281492,0.9354253228946511,0.753386804564518,1.180604837217597,1.1992782908592539,35,22
disclaimer,3.870432372283314,1.7210143508908788,0.7967162440868453,0.46508374192768276,2.149418021392435,2.248925100641836,2.0164187795657735,29,13
stomach,6.241289895388877,6.4771395858659115,0.69369405252083,0.7609642631002759,-0.23584969047703463,0.9635873694938281,2.5315297373958496,511,365
nematode,1.561278124459133,0.0,0.985056822321508,0.0,1.561278124459133,,1.07471588839246,3,1
flow,7.744671710055707,6.901076918712144,0.8282239419693151,0.8986385574664839,0.8435947913435626,1.1222410358963208,1.8588802901534243,653,205
adapter,3.7843684875968617,1.584962500721156,0.9939626236767231,1.0,2.1994059868757057,2.387670677303077,1.0301868816163848,14,3
kibble,2.9686646468563285,1.5,0.8022464552800851,0.9463946303571862,1.4686646468563285,1.9791097645708857,1.9887677235995747,13,3
auxquelle,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
unlucky,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
hij,4.0723727044321425,3.6381476962048276,0.9132044288811336,0.9312130982869683,0.4342250082273149,1.1193533205593278,1.4339778555943319,22,15
exception,4.879586344731914,3.066885303318459,0.6485739564892521,0.5802558019848574,1.812701041413455,1.591056026598732,2.7571302175537395,184,39
sameness,5.220580748468198,2.4674452407960943,0.9620947344938033,0.713251629979622,2.7531355076721034,2.115783832667279,1.1895263275309833,43,11
hashtag,1.8879185026711327,2.584962500721156,0.9439592513355664,1.0,-0.6970439980500234,0.7303465725883601,1.2802037433221682,4,6
commemoration,3.38009433628333,2.0,0.9770663822558171,1.0,1.3800943362833298,1.690047168141665,1.1146680887209146,11,4
cruise,6.159189971940399,3.610965768400472,0.8531716574398649,0.835498807273558,2.548224203539927,1.7056904902947054,1.7341417128006755,149,20
poljubac,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
oration,4.986303421615467,3.189898095464287,0.9501471597772803,0.9602550098461563,1.7964053261511803,1.5631544558446828,1.2492642011135988,38,10
milky,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
business,7.270108291034353,5.618927988716316,0.6815442270720017,0.6668349680777349,1.6511803023180365,1.2938603779286484,2.5922788646399915,1626,344
hawthorn,3.8745707444869675,1.9219280948873623,0.9686426861217419,0.9609640474436811,1.9526426495996052,2.0159811154194314,1.1567865693912907,16,4
auction,5.498812965584999,3.7803946541231945,0.8077752707982673,0.9450986635307986,1.7184183114618041,1.4545605601223572,1.9611236460086636,112,16
motherhood,4.081539538738741,3.584962500721156,0.8401719856113926,1.0,0.4965770380175849,1.1385166617273381,1.7991400719430368,29,12
gut,6.926468500784997,5.6423095167824755,0.8457407666046771,0.7446205889663364,1.2841589840025218,1.227594565697419,1.7712961669766143,292,191
ether,5.093176536885643,3.085055102756477,0.9274058223242577,0.9732265278682558,2.008121434129166,1.6509191464148962,1.3629708883787113,45,9
petitioner,4.696690900193825,3.169925001442312,0.9231892294351431,1.0,1.5267658987515125,1.4816410161302982,1.3840538528242843,34,9
besluit,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
guerrilla,5.975223109582795,3.880179922675737,0.9204187188032691,0.9700449806689343,2.095043186907058,1.5399345465048266,1.3979064059836546,90,16
worshiper,4.82778268530841,2.6464393446710153,0.8897064377710142,0.9426807148172599,2.1813433406373948,1.8242559365775157,1.551467811144929,43,7
colleague,6.655447867233115,6.305490197599883,0.7551183451054232,0.9511466283924491,0.34995766963323227,1.055500470013646,2.224408274472884,450,99
millennium,3.937916747430241,4.088779347361362,0.6842734538164016,0.9625351031582905,-0.15086259993112083,0.9631032669863983,2.578632730917992,54,19
chopper,6.2339179446809485,5.862474200618991,0.8744102218784269,0.9532870354986518,0.3714437440619571,1.0633595528697999,1.6279488906078656,140,71
playland,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
dai,4.538699827517455,4.233639952626228,0.7923817838464672,0.9493676133372202,0.305059874891227,1.0720561687589873,2.038091080767664,53,22
quarterstaff,3.0269868333592873,2.321928094887362,0.9549080284177108,1.0,0.7050587384719251,1.3036522707246574,1.2254598579114457,9,5
sarsa,1.5566567074628228,1.0,0.9821410328348752,1.0,0.5566567074628228,1.5566567074628228,1.089294835825624,3,2
doodging,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
drowsing,1.7783283537314114,1.5219280948873621,0.8891641768657057,0.9602297178607612,0.25640025884404927,1.1684706785461014,1.5541791156714715,4,3
dropship,4.436432094332239,3.0,0.9553336522566717,1.0,1.4364320943322388,1.4788106981107463,1.2233317387166416,25,8
bobblehead,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
smoldering,3.521605564018487,2.321928094887362,0.9823270294487253,1.0,1.199677469131125,1.5166729632035922,1.0883648527563734,12,5
assault,7.507644139692123,6.273438337598626,0.791626948057168,0.840086999175914,1.2342058020934967,1.1967351451749395,2.04186525971416,716,177
article,7.363719837844981,5.829705387125396,0.7831235161013137,0.8213129102529891,1.5340144507195843,1.2631375599369696,2.0843824194934317,677,137
platinum,4.789378535356608,2.93299930663729,0.9337325547322192,0.8829207685594833,1.8563792287193182,1.632928628560664,1.331337226338904,35,10
hospitality,6.302566593832648,4.733583435793072,0.8576404598942614,0.8778384254229917,1.5689831580395754,1.3314578013298937,1.711797700528693,163,42
elation,6.201241194641998,4.858543577121685,0.8932269698353306,0.9397706109404377,1.3426976175203134,1.2763580476756284,1.5338651508233472,123,36
nationalization,1.0,2.0,1.0,1.0,-1.0,0.5,1.0,2,4
congress,2.797648354945923,2.197159723424149,0.6184613767033509,0.9462651872218009,0.6004886315217739,1.2733022206441806,2.9076931164832454,23,5
headscarf,4.350837598415665,2.403677461028802,0.8415668693843456,0.801225820342934,1.947160137386863,1.8100754651805304,1.7921656530782721,36,8
antennae,5.978030936510257,4.313193322429078,0.907830672666028,0.9287956272044491,1.6648376140811791,1.3859872464848355,1.46084663666986,96,25
imagining,5.145285242037352,3.921928094887362,0.7502623943829754,0.9804820237218405,1.2233571471499904,1.311927479941502,2.248688028085123,116,16
imaginer,0.9709505944546686,0.0,0.9709505944546686,0.0,0.9709505944546686,,1.145247027726657,2,1
soddy,0.0,1.584962500721156,0.0,1.0,-1.584962500721156,0.0,6.0,1,3
lull,4.9987170922106285,4.346206138497398,0.7884598357904711,0.9246382038947232,0.6525109537132305,1.1501334573004909,2.0577008210476446,81,26
similarity,5.984877412255843,4.38128093641031,0.8235933969905117,0.7578288073238088,1.6035964758455332,1.3660108765267627,1.8820330150474414,154,55
rostrum,2.984234164652489,2.292481250360578,0.9947447215508296,0.8165982976888231,0.6917529142919108,1.3017485592011306,1.026276392245852,8,7
fogginess,2.3563703988662144,0.0,0.9115685036857716,0.0,2.3563703988662144,,1.442157481571142,6,1
ritual,7.782404503416856,5.2332968092230105,0.8563891417624856,0.8350845804686862,2.5491076941938458,1.4870940416949736,1.718054291187572,544,77
