noun,h_adj,h_verb,h_adj_norm,h_verb_norm,delta,ratio,tau_entropy,variety_adj,variety_verb
jogger,5.096671265973588,2.4193819456463714,0.8984994880870835,0.935944697445866,2.6772893203272163,2.1066005204944775,1.5075025595645828,51,6
juggling,3.2958749677319092,2.321928094887362,0.8906711685030732,1.0,0.9739468728445471,1.4194560869430342,1.5466441574846344,13,5
diode,3.2879145478258995,0.0,0.7740043909460568,0.0,3.2879145478258995,,2.1299780452697163,19,1
visiteur,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
prevision,2.0,0.0,1.0,0.0,2.0,,1.0,4,1
overreaction,4.046761002949998,1.0,0.9526436103589461,1.0,3.0467610029499976,4.046761002949998,1.2367819482052695,19,2
parakeet,3.949747915182384,1.5,0.8992400901398448,0.9463946303571862,2.449747915182384,2.633165276788256,1.5037995493007759,21,3
airspace,5.675545245400531,3.6276511058064913,0.9003398868277196,0.813478356893164,2.0478941395940393,1.5645234560501529,1.4983005658614021,79,22
flux,5.394572637426848,4.55954563450997,0.8309757718449913,0.9700253397384613,0.8350270029168785,1.183138204955508,1.8451211407750436,90,26
footfall,5.204724318880245,5.170422196586854,0.7162346505891078,0.9528510734951616,0.0343021222933908,1.006634298126763,2.4188267470544607,154,43
mujere,0.0,1.7924812503605778,0.0,0.8962406251802889,-1.7924812503605778,0.0,6.0,1,4
laugh,7.662688003031876,5.206501552833842,0.7397380078181776,0.6761304215612646,2.456186450198034,1.4717537150951503,2.301309960909112,1313,208
borrower,4.1345682359236795,1.584962500721156,0.9140072084980567,1.0,2.5496057352025234,2.6086221182157026,1.4299639575097163,23,3
lapd,2.1556390622295662,1.5219280948873621,0.9283832117695864,0.9602297178607612,0.6337109673422041,1.4163869301519827,1.358083941152068,5,3
mani,1.0,0.9182958340544896,1.0,0.9182958340544896,0.08170416594551044,1.0889736868180786,1.0,2,2
sumac,2.5136459293583706,1.0,0.9724109841659639,1.0,1.5136459293583706,2.5136459293583706,1.1379450791701804,6,2
invoice,5.2276905911952305,4.284683810317086,0.9575521695974808,0.9608138831886359,0.9430067808781448,1.220087834394566,1.2122391520125961,44,22
pathway,7.275305083820825,6.318543168034278,0.8642709136273624,0.9391524781998186,0.9567619157865472,1.1514212834102073,1.6786454318631878,342,106
blockage,4.626108722190383,3.625,0.9622981446542239,0.979613309799034,1.0011087221903834,1.2761679233628644,1.1885092767288805,28,13
missione,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
tief,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4,2
thinker,6.512687870565461,3.681880802803402,0.8328054769419343,0.9670442809186824,2.830807067762059,1.7688481022000138,1.8359726152903284,226,14
wick,5.31677452708118,4.0746514253013855,0.8929457898131884,0.9276769033517603,1.2421231017797947,1.3048415611865303,1.5352710509340581,62,21
belligerence,4.875287844857143,3.702819531114783,0.9582945363899601,0.9725438281739368,1.1724683137423595,1.316642035586696,1.2085273180501996,34,14
señorita,2.731100288217927,0.0,0.9103667627393089,0.0,2.731100288217927,,1.4481661863034554,8,1
slickness,4.211484099590401,3.121928094887362,0.9310105930905308,0.9848586617875466,1.0895560047030393,1.349000992843927,1.344947034547346,23,9
procedural,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
beatin,0.0,0.9709505944546686,0.0,0.9709505944546686,-0.9709505944546686,0.0,6.0,1,2
zit,4.247891509900832,3.2516291673878226,0.9264833701982715,0.9788379141596311,0.9962623425130093,1.3063886720247841,1.3675831490086423,24,10
bunker,6.091257074547248,5.161975110917953,0.7924616739445459,0.9345373785945223,0.929281963629295,1.1800244952099432,2.0376916302772705,206,46
